1834800 non-violating size-3 partial labelings in 808 full-group orbit types [43s]
type sizes: [(2304, 250), (4608, 181), (1152, 149), (576, 127), (288, 47), (9216, 16), (768, 11), (96, 6), (192, 6), (384, 5), (144, 4), (1536, 4), (72, 2)]
  type  120 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 1, 2) 02:eq]
  type  121 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 2, 2) 12:eq]
  type  122 size    4608 removed    512 orbit-cols -> solution (rank 94060)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 2, 3) ]
  type  123 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type  124 size    4608 removed    512 orbit-cols -> solution (rank 94020)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 1, 2) 01:eq]
  type  125 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 2, 2) 12:eq]
  type  126 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 2, 2) 12:ne]
  type  127 size    4608 removed    512 orbit-cols -> solution (rank 94056)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 2, 3) ]
  type  128 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:ne]
  type  129 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 1, 1) 01:eq 02:ne 12:eq]
  type  130 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 1, 2) 01:eq]
  type  131 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 1, 2) 02:eq]
  type  132 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 1, 2) 02:ne]
  type  133 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 2, 2) 12:eq]
  type  134 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 2, 2) 12:ne]
  type  135 size    9216 removed   1024 orbit-cols -> solution (rank 94045)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 2, 3) ]
  type  136 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:ne]
  type  137 size    4608 removed    512 orbit-cols -> solution (rank 94020)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 1, 2) 01:eq]
  type  138 size    2304 removed    256 orbit-cols -> solution (rank 94032)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 2, 2) 12:eq]
  type  139 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 2, 2) 12:ne]
  type  140 size    4608 removed    512 orbit-cols -> solution (rank 94056)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 2, 3) ]
  type  141 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EE- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type  142 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EE- nonsimplex mags=(1, 1, 2) 01:eq]
  type  143 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EE- nonsimplex mags=(1, 1, 2) 02:eq]
  type  144 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EE- nonsimplex mags=(1, 2, 2) 12:eq]
  type  145 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EE- nonsimplex mags=(1, 2, 2) 12:ne]
  type  146 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EE- nonsimplex mags=(1, 2, 3) ]
  type  147 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:ne]
  type  148 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 1, 1) 01:eq 02:ne 12:eq]
  type  149 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 1, 2) 01:eq]
  type  150 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 1, 2) 02:eq]
  type  151 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 1, 2) 02:ne]
  type  152 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 2, 2) 12:eq]
  type  153 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 2, 2) 12:ne]
  type  154 size    4608 removed    512 orbit-cols -> solution (rank 94060)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 2, 3) ]
  type  155 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EEE simplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type  156 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EEE simplex mags=(1, 1, 2) 01:eq]
  type  157 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EEE simplex mags=(1, 1, 2) 02:eq]
  type  158 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EEE simplex mags=(1, 2, 2) 12:eq]
  type  159 size    4608 removed    512 orbit-cols -> NO solution (rank 94053)  [ranks=(1, 3, 4) edges=EEE simplex mags=(1, 2, 3) ]
  type  160 size     288 removed     32 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=--- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type  161 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=--- nonsimplex mags=(1, 1, 2) 01:eq]
  type  162 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=--- nonsimplex mags=(1, 2, 2) 12:eq]
  type  163 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 2) edges=--- nonsimplex mags=(1, 2, 3) ]
  type  164 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=-E- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:ne]
  type  165 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=-E- nonsimplex mags=(1, 1, 2) 01:eq]
  type  166 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=-E- nonsimplex mags=(1, 1, 2) 02:eq]
  type  167 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 2, 4) edges=-E- nonsimplex mags=(1, 2, 2) 12:eq]
  type  168 size    4608 removed    512 orbit-cols -> solution (rank 94059)  [ranks=(1, 2, 4) edges=-E- nonsimplex mags=(1, 2, 3) ]
